customer_id,signup_date,loyalty_tier,customer_segment,age_band,preferred_channel,home_suburb,prior_12m_orders,lifetime_value_before_period,marketing_consent,home_postcode,home_state,home_country,preferred_language,acquisition_source,account_status,preferred_device,email_domain,household_size_band,contact_frequency_preference
CUS00015,2016-07-12,Silver,Mainstream,18-24,Store,Footscray,19,2384.88,False,3011,VIC,Australia,it,Paid Search,Active,Desktop,inbox.example,3-4,Essential only
CUS00016,2016-08-18,Platinum,Small Business,45-54,Web,Northcote,14,3055.51,False,3070,VIC,Australia,nl,Paid Search,Review,Mobile,inbox.example,5+,Essential only
CUS00017,2016-05-01,Silver,Value,45-54,Mobile,St Kilda,16,10358.87,True,3182,VIC,Australia,pl,Social,Active,Tablet,mail.test,3-4,Monthly
CUS00018,2013-10-11,Bronze,Small Business,55+,Store,Northcote,10,9242.03,True,3070,VIC,Australia,en,Social,Active,Mobile,example.net,5+,Essential only
CUS00019,2014-10-24,Bronze,Small Business,25-34,Store,Melbourne,9,6287.17,True,3000,VIC,Australia,it,Referral,Active,Mobile,example.net,2,Quarterly
CUS00020,2016-03-11,Bronze,Mainstream,25-34,Mobile,Brunswick,14,9879.58,True,3056,VIC,Australia,de,Referral,Active,Tablet,inbox.example,1,Weekly
CUS00021,2017-05-01,Bronze,Value,25-34,Web,Southbank,7,2827.5,True,3006,VIC,Australia,pl,Social,Active,Tablet,mail.test,2,Weekly
CUS00022,2015-04-16,Silver,Mainstream,45-54,Store,St Kilda,6,1963.44,False,3182,VIC,Australia,pt,Paid Search,Active,Tablet,example.net,3-4,Weekly
CUS00023,2013-11-16,Bronze,Premium,18-24,Mobile,Richmond,15,8848.58,False,3121,VIC,Australia,ja,Organic,Active,Tablet,mail.test,1,Weekly
CUS00024,2015-02-16,Bronze,Small Business,18-24,Web,Footscray,9,1832.79,True,3011,VIC,Australia,en,Social,Active,Tablet,inbox.example,3-4,Quarterly
CUS00025,2017-02-14,Gold,Value,55+,Store,Footscray,0,701.25,False,3011,VIC,Australia,pt,Referral,Active,Desktop,mail.test,3-4,Monthly
CUS00026,2013-10-23,Silver,Value,35-44,Web,Hawthorn,16,9791.26,True,3122,VIC,Australia,ja,Store,Active,Desktop,mail.test,3-4,Weekly
CUS00027,2014-08-08,Silver,Small Business,55+,Store,Southbank,14,3426.16,True,3006,VIC,Australia,fr,Paid Search,Active,Tablet,mail.test,1,Monthly
CUS00028,2015-11-23,Bronze,Mainstream,18-24,Store,Docklands,11,1153.68,False,3008,VIC,Australia,fr,Referral,Active,Desktop,inbox.example,3-4,Monthly
CUS00029,2017-06-16,Platinum,Small Business,35-44,Mobile,Southbank,15,12318.42,True,3006,VIC,Australia,de,Organic,Active,Tablet,mail.test,3-4,Quarterly
CUS00030,2016-09-13,Bronze,Premium,45-54,Mobile,Southbank,7,4915.06,False,3006,VIC,Australia,pt,Paid Search,Active,Mobile,inbox.example,5+,Essential only
CUS00031,2014-04-05,Bronze,Mainstream,25-34,Web,Northcote,21,4951.71,True,3070,VIC,Australia,fr,Organic,Active,Desktop,inbox.example,2,Quarterly
CUS00032,2013-03-23,Silver,Mainstream,45-54,Store,St Kilda,3,3176.01,False,3182,VIC,Australia,pl,Referral,Active,Mobile,example.net,5+,Essential only
CUS00033,2017-07-07,Silver,Mainstream,18-24,Store,Footscray,14,8301.51,True,3011,VIC,Australia,nl,Organic,Active,Desktop,inbox.example,5+,Weekly
CUS00034,2017-02-20,Gold,Small Business,45-54,Web,Carlton,17,6752.46,False,3053,VIC,Australia,fr,Paid Search,Active,Mobile,mail.test,2,Quarterly
CUS00035,2017-08-13,Platinum,Small Business,25-34,Web,Richmond,15,6576.55,True,3121,VIC,Australia,es,Organic,Active,Desktop,mail.test,5+,Monthly
CUS00036,2016-03-17,Gold,Premium,25-34,Mobile,Richmond,1,1523.84,True,3121,VIC,Australia,hi,Store,Active,Mobile,inbox.example,2,Weekly
CUS00037,2016-06-03,Silver,Value,45-54,Store,Melbourne,19,8673.53,True,3000,VIC,Australia,en,Social,Active,Mobile,inbox.example,3-4,Quarterly
CUS00038,2015-11-26,Silver,Value,18-24,Store,St Kilda,9,6901.3,False,3182,VIC,Australia,it,Paid Search,Active,Desktop,example.net,5+,Weekly
CUS00039,2015-08-26,Bronze,Small Business,18-24,Mobile,St Kilda,5,3040.22,True,3182,VIC,Australia,fr,Store,Active,Desktop,example.net,1,Monthly
CUS00040,2016-03-25,Bronze,Premium,25-34,Store,Melbourne,6,1539.63,True,3000,VIC,Australia,pl,Paid Search,Active,Tablet,inbox.example,1,Essential only
CUS00041,2014-07-26,Platinum,Small Business,55+,Store,Brunswick,6,5984.96,True,3056,VIC,Australia,ru,Paid Search,Active,Tablet,mail.test,5+,Weekly
CUS00042,2013-12-24,Gold,Small Business,25-34,Mobile,Docklands,11,10204.87,False,3008,VIC,Australia,de,Social,Active,Tablet,inbox.example,2,Essential only
CUS00043,2014-03-08,Bronze,Mainstream,25-34,Store,St Kilda,9,1988.45,True,3182,VIC,Australia,fr,Paid Search,Active,Tablet,example.net,1,Quarterly
CUS00044,2014-10-23,Bronze,Value,55+,Web,Richmond,4,1263.08,True,3121,VIC,Australia,es,Store,Active,Mobile,example.net,5+,Quarterly
CUS00045,2017-06-27,Gold,Value,25-34,Store,Brunswick,9,4402.81,True,3056,VIC,Australia,it,Social,Active,Desktop,inbox.example,5+,Monthly
CUS00046,2013-01-10,Silver,Value,25-34,Store,Docklands,8,7448.04,True,3008,VIC,Australia,fr,Social,Active,Mobile,mail.test,1,Monthly
CUS00047,2016-10-22,Silver,Mainstream,25-34,Mobile,Docklands,14,11983.84,False,3008,VIC,Australia,ja,Paid Search,Dormant,Mobile,inbox.example,1,Monthly
CUS00048,2017-08-07,Bronze,Premium,25-34,Store,Hawthorn,5,806.96,True,3122,VIC,Australia,pt,Referral,Active,Tablet,example.net,5+,Weekly
CUS00049,2015-05-06,Gold,Small Business,45-54,Mobile,Hawthorn,21,18077.7,True,3122,VIC,Australia,es,Organic,Active,Mobile,inbox.example,3-4,Monthly
CUS00050,2017-12-27,Silver,Mainstream,25-34,Store,Carlton,6,3776.4,True,3053,VIC,Australia,zh,Referral,Active,Desktop,example.net,2,Quarterly
CUS00051,2016-07-02,Bronze,Small Business,45-54,Web,Footscray,13,9783.11,True,3011,VIC,Australia,it,Social,Active,Desktop,example.net,3-4,Quarterly
CUS00052,2014-07-23,Bronze,Premium,25-34,Store,Richmond,12,2427.59,True,3121,VIC,Australia,ru,Referral,Active,Mobile,mail.test,5+,Quarterly
CUS00053,2013-11-18,Gold,Premium,18-24,Mobile,Carlton,16,15224.69,False,3053,VIC,Australia,fr,Organic,Dormant,Desktop,example.net,5+,Weekly
CUS00054,2014-05-14,Platinum,Value,45-54,Web,St Kilda,17,7875.14,True,3182,VIC,Australia,it,Paid Search,Active,Tablet,inbox.example,1,Quarterly
CUS00055,2017-11-19,Silver,Mainstream,55+,Mobile,Hawthorn,0,550.7,True,3122,VIC,Australia,ja,Referral,Active,Tablet,mail.test,1,Essential only
CUS00056,2017-08-23,Gold,Small Business,55+,Store,Brunswick,9,7715.47,True,3056,VIC,Australia,ja,Referral,Active,Mobile,mail.test,1,Weekly
CUS00057,2016-10-08,Gold,Small Business,55+,Store,Hawthorn,6,3497.32,True,3122,VIC,Australia,nl,Paid Search,Active,Tablet,example.net,2,Weekly
CUS00058,2017-03-05,Bronze,Value,25-34,Mobile,St Kilda,7,2473.9,True,3182,VIC,Australia,nl,Organic,Active,Mobile,example.net,5+,Monthly
CUS00059,2014-08-04,Gold,Value,55+,Store,Southbank,5,5018.38,True,3006,VIC,Australia,en,Store,Active,Tablet,inbox.example,5+,Essential only
CUS00060,2014-08-06,Platinum,Small Business,45-54,Mobile,Carlton,15,11246.54,False,3053,VIC,Australia,fr,Social,Active,Tablet,example.net,3-4,Weekly
CUS00061,2017-01-08,Bronze,Premium,55+,Mobile,Northcote,19,8229.02,True,3070,VIC,Australia,es,Referral,Active,Tablet,mail.test,3-4,Quarterly
CUS00062,2013-02-14,Bronze,Mainstream,55+,Store,Melbourne,19,14869.33,True,3000,VIC,Australia,hi,Referral,Active,Mobile,inbox.example,5+,Quarterly
CUS00063,2017-08-21,Bronze,Small Business,55+,Store,Richmond,1,587.28,True,3121,VIC,Australia,de,Paid Search,Active,Tablet,mail.test,2,Monthly
CUS00064,2015-08-24,Bronze,Premium,18-24,Store,Docklands,8,5184.49,False,3008,VIC,Australia,pl,Store,Active,Desktop,mail.test,2,Weekly
CUS00065,2017-03-13,Gold,Premium,55+,Store,St Kilda,1,370.92,True,3182,VIC,Australia,hi,Referral,Active,Tablet,mail.test,1,Monthly
CUS00066,2016-04-24,Silver,Premium,25-34,Store,Docklands,9,2319.71,True,3008,VIC,Australia,ru,Organic,Active,Desktop,example.net,1,Monthly
CUS00067,2013-12-10,Bronze,Small Business,35-44,Mobile,Brunswick,14,3276.36,True,3056,VIC,Australia,fr,Store,Active,Desktop,inbox.example,3-4,Weekly
CUS00068,2014-09-26,Bronze,Value,25-34,Store,Melbourne,17,2873.05,True,3000,VIC,Australia,ja,Referral,Active,Mobile,example.net,2,Monthly
CUS00069,2014-04-14,Silver,Value,45-54,Store,Hawthorn,8,5399.21,False,3122,VIC,Australia,en,Store,Active,Desktop,mail.test,3-4,Quarterly
CUS00070,2017-10-09,Bronze,Mainstream,55+,Mobile,Hawthorn,8,3236.54,True,3122,VIC,Australia,ru,Referral,Active,Desktop,mail.test,3-4,Quarterly
CUS00071,2014-05-08,Silver,Mainstream,55+,Mobile,St Kilda,12,4872.6,True,3182,VIC,Australia,ru,Store,Active,Desktop,inbox.example,5+,Quarterly
CUS00072,2015-10-09,Silver,Premium,45-54,Mobile,Docklands,13,1929.16,True,3008,VIC,Australia,en,Referral,Active,Desktop,inbox.example,5+,Quarterly
CUS00073,2013-02-17,Bronze,Mainstream,18-24,Mobile,Brunswick,15,3653.03,True,3056,VIC,Australia,en,Organic,Active,Desktop,inbox.example,5+,Monthly
CUS00074,2015-08-10,Silver,Small Business,35-44,Store,Hawthorn,9,4672.7,True,3122,VIC,Australia,zh,Organic,Active,Desktop,example.net,1,Weekly
CUS00075,2014-04-20,Gold,Mainstream,35-44,Web,Footscray,20,9372.63,False,3011,VIC,Australia,ru,Organic,Active,Desktop,mail.test,3-4,Quarterly
CUS00076,2016-08-26,Bronze,Premium,25-34,Web,St Kilda,18,3574.53,False,3182,VIC,Australia,fr,Referral,Active,Desktop,mail.test,3-4,Weekly
CUS00077,2017-02-06,Silver,Small Business,35-44,Store,Brunswick,17,14297.0,True,3056,VIC,Australia,pl,Store,Active,Mobile,inbox.example,5+,Weekly
CUS00078,2016-10-01,Bronze,Value,45-54,Mobile,Richmond,21,2343.24,True,3121,VIC,Australia,es,Organic,Active,Mobile,inbox.example,2,Essential only
CUS00079,2016-05-05,Silver,Small Business,45-54,Mobile,Northcote,15,5803.19,True,3070,VIC,Australia,hi,Social,Active,Desktop,inbox.example,3-4,Weekly
CUS00080,2017-12-03,Silver,Value,18-24,Mobile,Footscray,20,5152.03,True,3011,VIC,Australia,en,Paid Search,Active,Tablet,mail.test,3-4,Weekly
CUS00081,2016-08-12,Gold,Premium,25-34,Store,Carlton,4,1802.63,True,3053,VIC,Australia,de,Paid Search,Active,Desktop,inbox.example,1,Weekly
CUS00082,2014-11-13,Platinum,Mainstream,25-34,Store,Melbourne,14,6582.31,False,3000,VIC,Australia,ar,Organic,Review,Tablet,example.net,2,Essential only
CUS00083,2016-06-27,Silver,Premium,25-34,Mobile,Brunswick,18,2029.77,False,3056,VIC,Australia,es,Referral,Active,Desktop,inbox.example,3-4,Quarterly
CUS00084,2015-06-12,Bronze,Premium,35-44,Web,Southbank,18,5522.21,True,3006,VIC,Australia,de,Store,Active,Mobile,mail.test,1,Monthly
CUS00085,2013-08-10,Platinum,Small Business,25-34,Web,Footscray,2,963.29,True,3011,VIC,Australia,hi,Organic,Active,Tablet,inbox.example,2,Quarterly
CUS00086,2015-05-18,Bronze,Small Business,55+,Mobile,Richmond,16,3449.07,True,3121,VIC,Australia,ja,Organic,Active,Mobile,inbox.example,3-4,Weekly
CUS00087,2017-03-19,Bronze,Small Business,45-54,Mobile,Brunswick,18,6098.19,False,3056,VIC,Australia,en,Paid Search,Active,Desktop,mail.test,3-4,Monthly
CUS00088,2016-01-04,Bronze,Small Business,18-24,Mobile,Carlton,18,8891.39,True,3053,VIC,Australia,fr,Paid Search,Active,Tablet,mail.test,3-4,Quarterly
CUS00089,2015-04-20,Platinum,Small Business,25-34,Store,Docklands,2,611.97,True,3008,VIC,Australia,zh,Paid Search,Active,Mobile,mail.test,5+,Monthly
CUS00090,2014-06-13,Silver,Small Business,55+,Mobile,Hawthorn,21,11344.57,True,3122,VIC,Australia,en,Referral,Active,Tablet,mail.test,5+,Monthly
CUS00091,2016-03-05,Gold,Mainstream,55+,Mobile,Hawthorn,6,2352.49,False,3122,VIC,Australia,ru,Paid Search,Active,Tablet,example.net,3-4,Monthly
CUS00092,2014-03-17,Bronze,Mainstream,45-54,Web,Melbourne,14,4836.01,False,3000,VIC,Australia,it,Paid Search,Active,Tablet,inbox.example,2,Essential only
CUS00093,2017-07-11,Bronze,Premium,18-24,Web,Melbourne,4,2463.36,True,3000,VIC,Australia,ru,Social,Active,Desktop,mail.test,2,Essential only
CUS00094,2016-01-15,Silver,Mainstream,55+,Web,Docklands,10,6691.01,False,3008,VIC,Australia,nl,Paid Search,Active,Desktop,inbox.example,2,Quarterly
CUS00095,2017-04-05,Bronze,Value,35-44,Mobile,Carlton,4,805.08,True,3053,VIC,Australia,de,Organic,Active,Tablet,example.net,1,Weekly
CUS00096,2014-09-26,Bronze,Value,25-34,Store,St Kilda,8,6372.87,False,3182,VIC,Australia,ar,Organic,Active,Tablet,mail.test,5+,Essential only
CUS00097,2014-06-01,Bronze,Premium,55+,Store,Footscray,14,10864.5,True,3011,VIC,Australia,en,Paid Search,Active,Desktop,mail.test,5+,Essential only
CUS00098,2016-08-23,Bronze,Value,45-54,Mobile,Carlton,16,1913.2,False,3053,VIC,Australia,es,Social,Active,Tablet,mail.test,5+,Monthly
CUS00099,2014-11-04,Silver,Small Business,45-54,Store,Southbank,8,3241.47,True,3006,VIC,Australia,pl,Paid Search,Active,Mobile,mail.test,1,Monthly
CUS00100,2015-09-25,Bronze,Small Business,45-54,Store,Docklands,19,16248.08,True,3008,VIC,Australia,it,Organic,Active,Mobile,mail.test,3-4,Monthly
CUS00101,2015-05-15,Silver,Mainstream,35-44,Web,Richmond,11,7939.27,True,3121,VIC,Australia,en,Social,Review,Desktop,example.net,5+,Quarterly
CUS00102,2016-03-26,Bronze,Mainstream,55+,Mobile,Carlton,14,5493.26,True,3053,VIC,Australia,hi,Social,Active,Mobile,mail.test,2,Weekly
CUS00103,2014-05-27,Gold,Mainstream,45-54,Web,Richmond,6,4309.55,False,3121,VIC,Australia,de,Social,Active,Tablet,example.net,5+,Quarterly
CUS00104,2016-04-25,Silver,Premium,18-24,Store,Footscray,14,11361.37,True,3011,VIC,Australia,de,Social,Active,Desktop,mail.test,5+,Weekly
CUS00105,2014-10-08,Bronze,Premium,45-54,Web,Northcote,3,2609.44,False,3070,VIC,Australia,ar,Store,Active,Tablet,inbox.example,3-4,Weekly
CUS00106,2014-05-11,Bronze,Premium,18-24,Mobile,Northcote,13,8280.77,True,3070,VIC,Australia,de,Referral,Active,Mobile,inbox.example,1,Essential only
CUS00107,2014-06-17,Bronze,Mainstream,45-54,Web,Footscray,21,17150.52,False,3011,VIC,Australia,ru,Referral,Active,Mobile,mail.test,2,Monthly
CUS00108,2016-09-18,Silver,Small Business,45-54,Mobile,Hawthorn,11,8955.97,True,3122,VIC,Australia,hi,Social,Active,Mobile,inbox.example,1,Essential only
CUS00109,2017-04-11,Bronze,Mainstream,25-34,Web,Carlton,16,15030.67,True,3053,VIC,Australia,de,Paid Search,Active,Tablet,example.net,5+,Quarterly
CUS00110,2015-06-15,Silver,Premium,45-54,Web,Docklands,18,5434.27,False,3008,VIC,Australia,zh,Social,Active,Mobile,mail.test,2,Monthly
CUS00111,2014-05-01,Silver,Small Business,25-34,Mobile,Northcote,0,94.54,False,3070,VIC,Australia,pt,Referral,Active,Mobile,mail.test,3-4,Weekly
CUS00112,2015-07-08,Bronze,Mainstream,45-54,Web,Melbourne,21,2732.01,False,3000,VIC,Australia,en,Store,Active,Tablet,mail.test,1,Quarterly
CUS00113,2013-04-26,Silver,Small Business,55+,Web,Docklands,19,11278.91,True,3008,VIC,Australia,ru,Referral,Active,Mobile,inbox.example,3-4,Monthly
CUS00114,2014-02-20,Silver,Value,25-34,Store,Docklands,10,8763.15,False,3008,VIC,Australia,de,Organic,Active,Tablet,inbox.example,2,Monthly
CUS00115,2015-11-21,Bronze,Value,18-24,Store,Footscray,6,5627.34,False,3011,VIC,Australia,es,Paid Search,Active,Desktop,inbox.example,3-4,Essential only
CUS00116,2017-03-13,Bronze,Small Business,35-44,Web,Melbourne,20,12244.34,True,3000,VIC,Australia,fr,Social,Dormant,Tablet,mail.test,1,Weekly
CUS00117,2014-10-03,Silver,Premium,18-24,Store,Richmond,7,5270.75,True,3121,VIC,Australia,en,Social,Active,Desktop,inbox.example,3-4,Essential only
CUS00118,2016-07-16,Gold,Premium,45-54,Web,Northcote,4,2382.93,True,3070,VIC,Australia,hi,Store,Active,Desktop,inbox.example,2,Essential only
CUS00119,2015-06-14,Silver,Mainstream,35-44,Mobile,St Kilda,21,3930.37,True,3182,VIC,Australia,de,Referral,Active,Mobile,inbox.example,5+,Essential only
CUS00120,2017-03-22,Gold,Mainstream,55+,Store,Southbank,15,5240.4,True,3006,VIC,Australia,nl,Organic,Active,Tablet,inbox.example,2,Essential only
CUS00121,2016-09-26,Gold,Value,35-44,Store,Footscray,5,4641.15,True,3011,VIC,Australia,fr,Store,Active,Desktop,example.net,5+,Monthly
CUS00122,2015-11-02,Bronze,Mainstream,35-44,Store,Hawthorn,3,2650.69,True,3122,VIC,Australia,en,Social,Active,Desktop,example.net,1,Weekly
CUS00123,2015-09-24,Silver,Small Business,18-24,Mobile,Docklands,1,1525.95,True,3008,VIC,Australia,fr,Social,Active,Mobile,inbox.example,5+,Weekly
CUS00124,2013-06-11,Silver,Small Business,45-54,Web,Docklands,9,5462.74,True,3008,VIC,Australia,ar,Store,Active,Mobile,mail.test,2,Weekly
CUS00125,2015-01-15,Bronze,Mainstream,35-44,Store,Melbourne,8,5341.42,True,3000,VIC,Australia,ja,Organic,Active,Mobile,example.net,2,Weekly
CUS00126,2013-07-06,Gold,Small Business,55+,Web,Brunswick,16,4983.55,True,3056,VIC,Australia,es,Referral,Active,Desktop,inbox.example,2,Monthly
CUS00127,2015-07-05,Platinum,Mainstream,35-44,Web,Docklands,7,2034.82,False,3008,VIC,Australia,ru,Social,Active,Mobile,inbox.example,2,Quarterly
CUS00128,2013-10-20,Silver,Value,25-34,Web,Docklands,7,1925.73,True,3008,VIC,Australia,it,Organic,Active,Mobile,mail.test,5+,Weekly
CUS00129,2015-04-25,Bronze,Mainstream,35-44,Store,Melbourne,17,13906.18,False,3000,VIC,Australia,pl,Paid Search,Active,Mobile,inbox.example,1,Quarterly
CUS00130,2014-07-02,Silver,Value,45-54,Store,Carlton,20,14598.11,False,3053,VIC,Australia,nl,Paid Search,Active,Desktop,inbox.example,5+,Quarterly
CUS00131,2017-12-15,Bronze,Value,55+,Store,Hawthorn,9,5840.34,True,3122,VIC,Australia,en,Social,Active,Desktop,mail.test,2,Essential only
CUS00132,2013-09-07,Bronze,Premium,25-34,Web,Northcote,9,5204.46,True,3070,VIC,Australia,de,Organic,Active,Desktop,mail.test,2,Essential only
CUS00133,2016-08-23,Gold,Value,25-34,Mobile,Docklands,14,6114.83,True,3008,VIC,Australia,en,Store,Active,Tablet,mail.test,1,Essential only
CUS00134,2015-08-13,Silver,Premium,45-54,Mobile,Northcote,2,1135.89,False,3070,VIC,Australia,ja,Store,Active,Desktop,inbox.example,2,Quarterly
CUS00135,2014-12-25,Bronze,Premium,18-24,Store,Northcote,12,1832.11,True,3070,VIC,Australia,de,Organic,Active,Tablet,example.net,3-4,Essential only
CUS00136,2014-02-06,Silver,Mainstream,25-34,Store,Footscray,3,2674.32,False,3011,VIC,Australia,hi,Organic,Active,Mobile,mail.test,1,Essential only
CUS00137,2015-05-04,Silver,Value,18-24,Store,Hawthorn,20,16002.54,True,3122,VIC,Australia,nl,Referral,Active,Desktop,mail.test,5+,Monthly
CUS00138,2016-01-22,Gold,Premium,35-44,Mobile,Northcote,20,7285.44,True,3070,VIC,Australia,es,Paid Search,Active,Mobile,example.net,1,Weekly
CUS00139,2015-04-07,Bronze,Premium,45-54,Web,Carlton,8,1484.23,False,3053,VIC,Australia,es,Referral,Active,Desktop,inbox.example,5+,Weekly
CUS00140,2017-10-23,Bronze,Mainstream,35-44,Mobile,Northcote,20,9093.63,False,3070,VIC,Australia,zh,Organic,Active,Tablet,example.net,2,Weekly
CUS00141,2014-08-18,Bronze,Small Business,18-24,Web,Footscray,18,8816.26,True,3011,VIC,Australia,en,Store,Active,Desktop,mail.test,1,Monthly
CUS00142,2015-01-19,Silver,Mainstream,18-24,Web,Brunswick,9,8019.88,True,3056,VIC,Australia,hi,Organic,Active,Tablet,mail.test,5+,Weekly
CUS00143,2017-02-18,Bronze,Value,18-24,Store,Northcote,19,2957.44,True,3070,VIC,Australia,it,Paid Search,Active,Desktop,inbox.example,3-4,Monthly
CUS00144,2013-06-06,Platinum,Mainstream,18-24,Store,Brunswick,3,3242.8,True,3056,VIC,Australia,ja,Referral,Active,Desktop,example.net,2,Weekly
CUS00145,2013-10-11,Gold,Value,18-24,Mobile,Carlton,4,1366.58,True,3053,VIC,Australia,zh,Social,Active,Desktop,example.net,5+,Essential only
CUS00146,2014-11-14,Bronze,Small Business,35-44,Store,Northcote,13,6684.46,True,3070,VIC,Australia,pt,Paid Search,Active,Mobile,mail.test,1,Monthly
CUS00147,2015-06-19,Platinum,Premium,35-44,Mobile,Southbank,7,4940.32,True,3006,VIC,Australia,en,Social,Active,Tablet,mail.test,1,Monthly
CUS00148,2014-06-06,Bronze,Mainstream,35-44,Store,St Kilda,4,3870.66,True,3182,VIC,Australia,hi,Paid Search,Active,Mobile,inbox.example,3-4,Quarterly
CUS00149,2016-07-18,Bronze,Small Business,18-24,Store,Southbank,2,1459.98,True,3006,VIC,Australia,pl,Referral,Active,Desktop,example.net,3-4,Essential only
CUS00150,2015-03-06,Gold,Value,25-34,Web,St Kilda,3,2739.04,True,3182,VIC,Australia,ja,Store,Active,Mobile,mail.test,2,Essential only
CUS00151,2017-04-27,Silver,Small Business,18-24,Mobile,Northcote,2,276.16,False,3070,VIC,Australia,es,Paid Search,Active,Mobile,example.net,5+,Essential only
CUS00152,2017-02-16,Gold,Mainstream,18-24,Store,St Kilda,17,6557.45,True,3182,VIC,Australia,nl,Referral,Active,Tablet,example.net,5+,Monthly
CUS00153,2015-10-12,Silver,Premium,45-54,Mobile,Footscray,15,13054.73,True,3011,VIC,Australia,pl,Organic,Active,Mobile,mail.test,3-4,Essential only
CUS00154,2013-03-13,Silver,Small Business,25-34,Store,St Kilda,14,3788.02,True,3182,VIC,Australia,en,Store,Active,Mobile,mail.test,3-4,Essential only
CUS00155,2013-11-21,Bronze,Premium,45-54,Store,Hawthorn,11,8534.51,True,3122,VIC,Australia,ja,Store,Dormant,Desktop,mail.test,2,Essential only
CUS00156,2017-06-13,Silver,Small Business,25-34,Mobile,Brunswick,6,1304.55,True,3056,VIC,Australia,pt,Store,Active,Mobile,mail.test,5+,Essential only
CUS00157,2014-10-14,Bronze,Mainstream,45-54,Mobile,Docklands,6,738.1,True,3008,VIC,Australia,ja,Referral,Active,Tablet,example.net,5+,Weekly
CUS00158,2014-11-24,Bronze,Value,55+,Mobile,Northcote,13,1160.6,True,3070,VIC,Australia,pt,Paid Search,Active,Desktop,mail.test,3-4,Quarterly
CUS00159,2017-02-02,Gold,Premium,25-34,Web,Brunswick,16,11872.43,True,3056,VIC,Australia,zh,Organic,Active,Tablet,mail.test,2,Essential only
CUS00160,2017-02-04,Silver,Value,25-34,Store,Brunswick,17,12841.97,True,3056,VIC,Australia,nl,Paid Search,Active,Mobile,inbox.example,3-4,Quarterly
CUS00161,2015-01-13,Silver,Small Business,35-44,Mobile,Hawthorn,4,2747.15,True,3122,VIC,Australia,it,Paid Search,Active,Tablet,example.net,3-4,Monthly
CUS00162,2016-01-02,Silver,Value,55+,Store,Docklands,1,1643.45,True,3008,VIC,Australia,ja,Organic,Active,Desktop,example.net,1,Essential only
CUS00163,2014-04-10,Silver,Small Business,35-44,Web,Brunswick,20,5233.21,True,3056,VIC,Australia,hi,Organic,Active,Mobile,inbox.example,3-4,Essential only
CUS00164,2016-06-20,Bronze,Small Business,35-44,Web,Hawthorn,3,1432.6,True,3122,VIC,Australia,ja,Social,Dormant,Mobile,example.net,5+,Quarterly
CUS00165,2013-10-17,Silver,Mainstream,45-54,Store,Docklands,7,5447.36,True,3008,VIC,Australia,pl,Paid Search,Active,Mobile,example.net,1,Quarterly
