mapping_id,output_table,target_field,source_format,json_source_path,xml_source_path,transformation_or_derivation,overlap_or_conflict_rule,notebook_evidence
MAP-orders-11,orders,delivery_charges,both,orders[].header.deliveryCharges,/OperationsExport/Orders/Order/Header/Delivery_Charges,Keep JSON numeric values; remove XML currency labels and thousands separators; convert to number; round to two decimal places.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-12,orders,coupon_code,both,orders[].header.couponCode,/OperationsExport/Orders/Order/Header/Coupon_Code,Unicode-normalise and trim the string; use the literal string NaN for the prescribed missing string result.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-13,orders,coupon_discount,both,orders[].header.couponDiscount,/OperationsExport/Orders/Order/Header/Coupon_Discount,Keep JSON numeric percentage points; remove the XML percent sign and convert to numeric percentage points.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-14,orders,tax_amount,derived,orders[].shoppingCart[].quantity | orders[].shoppingCart[].unitPrice | orders[].header.taxAmount,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price | /OperationsExport/Orders/Order/Header/Tax_Amount,"Derive canonical order_price from rounded line revenues, then calculate included GST as round(order_price / 11, 2) before discount; use the reported source field only for validation.","Reconcile source inputs by order_id, recompute deterministically from canonical inputs, compare normalised JSON/XML results and any reported source value, and record mismatches in validation.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-15,orders,order_total,derived,orders[].shoppingCart[].quantity | orders[].shoppingCart[].unitPrice | orders[].header.couponDiscount | orders[].header.deliveryCharges | orders[].header.orderTotal,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price | /OperationsExport/Orders/Order/Header/Coupon_Discount | /OperationsExport/Orders/Order/Header/Delivery_Charges | /OperationsExport/Orders/Order/Header/Order_Total,"Derive order_price from rounded line revenues; apply coupon_discount to order_price, add delivery_charges, and round to two decimal places; do not add tax_amount again; use reported order_total only for validation.","Reconcile source inputs by order_id, recompute deterministically from canonical inputs, compare normalised JSON/XML results and any reported source value, and record mismatches in validation.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-16,orders,season,both,orders[].header.season,/OperationsExport/Orders/Order/Header/Season,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-17,orders,expedited_delivery,both,orders[].header.expeditedDelivery,/OperationsExport/Orders/Order/Header/Expedited_Delivery,Keep JSON booleans; map XML boolean alternatives to Python bool; export as True or False.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-18,orders,customer_lat,both,orders[].header.customerLat,/OperationsExport/Orders/Order/Header/Customer_Lat,Convert to numeric without changing the field meaning; retain published precision unless a field rule requires rounding.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-19,orders,customer_long,both,orders[].header.customerLong,/OperationsExport/Orders/Order/Header/Customer_Long,Convert to numeric without changing the field meaning; retain published precision unless a field rule requires rounding.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-20,orders,device_type,both,orders[].header.deviceType,/OperationsExport/Orders/Order/Header/Device_Type,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-21,orders,referral_source,both,orders[].header.referralSource,/OperationsExport/Orders/Order/Header/Referral_Source,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by order_id; compare normalised non-missing values for the same order_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-22,orders,customer_note_clean,derived,orders[].header.customerNote,/OperationsExport/Orders/Order/Header/Customer_Note,"Run clean_narrative_text on the structured raw note after reference extraction; decode entities, apply NFC, remove published markup/markers/URLs/emoji, collapse whitespace, lower-case, and return literal NaN if empty.","Reconcile source inputs by order_id, recompute deterministically from canonical inputs, compare normalised JSON/XML results and any reported source value, and record mismatches in validation.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-orders-23,orders,promo_code,derived,orders[].header.customerNote,/OperationsExport/Orders/Order/Header/Customer_Note,Extract a bounded B1SAVE- to B5SAVE- code followed by exactly two digits from the structured raw note; return upper case or literal NaN.,"Reconcile source inputs by order_id, recompute deterministically from canonical inputs, compare normalised JSON/XML results and any reported source value, and record mismatches in validation.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-order_items-01,order_items,order_item_id,both,orders[].shoppingCart[].orderItemID,/OperationsExport/Orders/Order/Shopping_Cart/Item/Order_Item_ID,Trim surrounding whitespace; preserve leading zeros and source case; output as string.,"Deduplicate within each source by order_item_id; compare normalised non-missing values for the same order_item_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-order_items-02,order_items,order_id,both,orders[].shoppingCart[].orderID,/OperationsExport/Orders/Order/Shopping_Cart/Item/Order_ID,Trim surrounding whitespace; preserve leading zeros and source case; output as string.,"Deduplicate within each source by order_item_id; compare normalised non-missing values for the same order_item_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-order_items-03,order_items,product_id,both,orders[].shoppingCart[].productID,/OperationsExport/Orders/Order/Shopping_Cart/Item/Product_ID,Trim surrounding whitespace; preserve leading zeros and source case; output as string.,"Deduplicate within each source by order_item_id; compare normalised non-missing values for the same order_item_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-order_items-04,order_items,quantity,both,orders[].shoppingCart[].quantity,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity,Convert to numeric without changing the field meaning; retain published precision unless a field rule requires rounding.,"Deduplicate within each source by order_item_id; compare normalised non-missing values for the same order_item_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-order_items-05,order_items,unit_price,both,orders[].shoppingCart[].unitPrice,/OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price,Keep JSON numeric values; remove XML currency labels and thousands separators; convert to number; round to two decimal places.,"Deduplicate within each source by order_item_id; compare normalised non-missing values for the same order_item_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-order_items-06,order_items,line_revenue,derived,orders[].shoppingCart[].quantity | orders[].shoppingCart[].unitPrice | orders[].shoppingCart[].lineRevenue,/OperationsExport/Orders/Order/Shopping_Cart/Item/Quantity | /OperationsExport/Orders/Order/Shopping_Cart/Item/Unit_Price | /OperationsExport/Orders/Order/Shopping_Cart/Item/Line_Revenue,"Calculate round(quantity * unit_price, 2) for every canonical order item; use reported source line revenue only for validation.","Reconcile source inputs by order_item_id, recompute deterministically from canonical inputs, compare normalised JSON/XML results and any reported source value, and record mismatches in validation.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-01,customers,customer_id,JSON,customerProfiles[].customerID,,Trim surrounding whitespace; preserve leading zeros and source case; output as string.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-02,customers,signup_date,JSON,customerProfiles[].signupDate,,Parse the source-specific date representation and format as YYYY-MM-DD.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-03,customers,loyalty_tier,JSON,customerProfiles[].loyaltyTier,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-04,customers,customer_segment,JSON,customerProfiles[].customerSegment,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-05,customers,age_band,JSON,customerProfiles[].ageBand,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-06,customers,preferred_channel,JSON,customerProfiles[].preferredChannel,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-07,customers,home_suburb,JSON,customerProfiles[].homeSuburb,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-08,customers,prior_12m_orders,JSON,customerProfiles[].prior12MOrders,,Convert to numeric without changing the field meaning; retain published precision unless a field rule requires rounding.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-09,customers,lifetime_value_before_period,JSON,customerProfiles[].lifetimeValueBeforePeriod,,Convert the JSON numeric value to number; round to two decimal places where required by the comparison rule.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-10,customers,marketing_consent,JSON,customerProfiles[].marketingConsent,,Convert the JSON boolean to Python bool and export as True or False.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-11,customers,home_postcode,JSON,customerProfiles[].homePostcode,,Trim surrounding whitespace; output as string and preserve leading zeros.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-12,customers,home_state,JSON,customerProfiles[].homeState,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-13,customers,home_country,JSON,customerProfiles[].homeCountry,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-14,customers,preferred_language,JSON,customerProfiles[].preferredLanguage,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-15,customers,acquisition_source,JSON,customerProfiles[].acquisitionSource,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-16,customers,account_status,JSON,customerProfiles[].accountStatus,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-17,customers,preferred_device,JSON,customerProfiles[].preferredDevice,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-18,customers,email_domain,JSON,customerProfiles[].emailDomain,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-19,customers,household_size_band,JSON,customerProfiles[].householdSizeBand,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-customers-20,customers,contact_frequency_preference,JSON,customerProfiles[].contactFrequencyPreference,,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,Deduplicate JSON records by customer_id; require duplicate non-missing values to agree after normalisation; record conflicts in validation and retain one canonical value.,SEC-1.1-JSON-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-01,deliveries,delivery_id,both,orders[].delivery.deliveryID,/OperationsExport/Orders/Order/Delivery/Delivery_ID,Trim surrounding whitespace; preserve leading zeros and source case; output as string.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-02,deliveries,order_id,both,orders[].delivery.orderID,/OperationsExport/Orders/Order/Delivery/Order_ID,Trim surrounding whitespace; preserve leading zeros and source case; output as string.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-03,deliveries,dispatch_date,both,orders[].delivery.dispatchDate,/OperationsExport/Orders/Order/Delivery/Dispatch_Date,Parse the source-specific date representation and format as YYYY-MM-DD.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-04,deliveries,promised_date,both,orders[].delivery.promisedDate,/OperationsExport/Orders/Order/Delivery/Promised_Date,Parse the source-specific date representation and format as YYYY-MM-DD.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-05,deliveries,delivered_date,both,orders[].delivery.deliveredDate,/OperationsExport/Orders/Order/Delivery/Delivered_Date,Parse the source-specific date representation and format as YYYY-MM-DD.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-06,deliveries,carrier,both,orders[].delivery.carrier,/OperationsExport/Orders/Order/Delivery/Carrier,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-07,deliveries,service_level,both,orders[].delivery.serviceLevel,/OperationsExport/Orders/Order/Delivery/Service_Level,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-08,deliveries,delivery_status,both,orders[].delivery.deliveryStatus,/OperationsExport/Orders/Order/Delivery/Delivery_Status,Unicode NFC-normalise and trim surrounding whitespace; preserve the published identifier/category case.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-09,deliveries,delay_days,both,orders[].delivery.delayDays,/OperationsExport/Orders/Order/Delivery/Delay_Days,Convert to numeric without changing the field meaning; retain published precision unless a field rule requires rounding.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-10,deliveries,on_time_in_full,both,orders[].delivery.onTimeInFull,/OperationsExport/Orders/Order/Delivery/On_Time_In_Full,Keep JSON booleans; map XML boolean alternatives to Python bool; export as True or False.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-11,deliveries,fulfilment_hours,both,orders[].delivery.fulfilmentHours,/OperationsExport/Orders/Order/Delivery/Fulfilment_Hours,Convert to numeric without changing the field meaning; retain published precision unless a field rule requires rounding.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
MAP-deliveries-12,deliveries,delivery_cost,both,orders[].delivery.deliveryCost,/OperationsExport/Orders/Order/Delivery/Delivery_Cost,Keep JSON numeric values; remove XML currency labels and thousands separators; convert to number; round to two decimal places.,"Deduplicate within each source by delivery_id; compare normalised non-missing values for the same delivery_id across JSON and XML; require agreement, record any conflict in validation, and retain one canonical value.",SEC-1.1-JSON-PROFILE | SEC-1.2-XML-PROFILE | SEC-1.3-SOURCE-COMPARISON | SEC-2-MAPPING-AUDIT
